"Date","FITLX","MKT","RF","SMB","HML","MOM","BAB","QMJ"
2024-01-30,0.0451885642163363,-0.1,0.02,-0.59,0.78,-0.07,0.24,0.54
2024-01-31,-1.89701936708416,-1.68,0.02,-0.52,-0.04,-0.25,0.57,-0.11
2024-02-01,1.42726235309045,1.24,0.02,0.13,-1,0.66,-0.31,0.33
2024-02-02,0.680887943054875,0.89,0.02,-1.46,-0.55,1.69,-1.53,0.08
2024-02-05,-0.135260082203459,-0.47,0.02,-0.94,-0.62,0.95,0,0.39
2024-02-06,0.180591043865652,0.33,0.02,0.52,-0.19,-1.06,0.52,-0.42
2024-02-07,0.901301715986258,0.74,0.02,-0.7,-0.68,1.02,-0.76,0.5
2024-02-08,0.223319096794161,0.2,0.02,0.99,-0.32,0.33,-0.13,-0.09
2024-02-09,0.802140378306104,0.66,0.02,0.57,-0.73,0.99,-0.64,-0.1
2024-02-12,-0.132629025342357,0.08,0.02,1.32,1.11,-1.32,0.48,-0.2
2024-02-13,-1.37228624988243,-1.63,0.02,-1.93,-0.44,0.66,0.19,0.83
2024-02-14,1.03231389204663,1.18,0.02,0.84,-0.17,0.7,-0.24,-1.13
2024-02-15,0.355397258518941,0.78,0.02,1.21,0.84,-1.2,0.26,-0.54
2024-02-16,-0.442675435122875,-0.48,0.02,-0.34,0,-0.32,0.15,0.21
2024-02-20,-0.755891854264312,-0.67,0.02,-0.56,0.59,-0.66,0.74,0.15
2024-02-21,0,0.01,0.02,-0.31,0.71,-0.69,0.4,0.82
2024-02-22,2.55376210850216,1.96,0.02,-1.33,-1.28,2.11,-1.41,0.83
2024-02-23,0.0436882007360806,0.07,0.02,0.28,-0.03,0.12,0.05,0.04
2024-02-26,-0.393013773306194,-0.24,0.02,0.64,-0.4,0.7,-0.27,-0.29
2024-02-27,0.043841425322122,0.27,0.02,0.8,0.18,-0.09,0.23,-0.59
2024-02-28,-0.131458280885421,-0.25,0.02,-0.42,-0.04,-0.27,0.56,0.16
2024-02-29,0.614301816692997,0.53,0.02,-0.11,0.47,0.36,-0.69,0.01
2024-03-01,0.872214796899407,0.78,0.02,0.01,-0.37,0.97,-0.39,0.08
2024-03-04,0.0432348864880083,-0.16,0.02,-0.21,0.56,0.35,0.29,-0.22
2024-03-05,-1.03716412034793,-0.98,0.02,0.15,1.4,-0.91,0.76,0.3
2024-03-06,0.567690263234932,0.56,0.02,-0.04,-0.03,0.09,-0.12,-0.54
2024-03-07,1.12896318336893,1.03,0.02,-0.27,-0.43,0.27,-0.78,0.35
2024-03-08,-0.815803033871698,-0.62,0.02,0.37,0.8,-0.86,0.71,-0.53
2024-03-11,-0.129873100216804,-0.14,0.02,-0.36,0.32,-1.57,0.69,0.18
2024-03-12,1.43042881695439,1,0.02,-1.03,-0.83,1.77,-0.86,0.74
